client_code,name,assumption_message
35,Самат,"Самат, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
36,Назым,"Назым, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
37,Гульнар,"Гульнар, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
38,Серик,"Серик, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
39,Ляззат,"Ляззат, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
40,Асхат,"Асхат, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
41,Сандугаш,"Сандугаш, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
42,Рустем,"Рустем, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
43,Нуртас,"Нуртас, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
44,Айнагуль,"Айнагуль, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
45,Диана,"Диана, у вас есть свободные средства. Золотые слитки — надёжный способ сохранить капитал. Узнать подробнее"
46,Арсен,"Арсен, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
47,Камшат,"Камшат, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
48,Ержан,"Ержан, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
49,Амина,"Амина, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
50,Тимурлан,"Тимурлан, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
51,Жанат,"Жанат, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
52,Милана,"Милана, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
53,Расул,"Расул, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
54,Виктория,"Виктория, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
55,Асель,"Асель, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
56,Нуркен,"Нуркен, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
57,Жания,"Жания, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
58,Султан,"Султан, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
59,Динара,"Динара, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
60,Ермек,"Ермек, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
